,Background,Revamped,Clothes,Tattoo,Shape,Mask,Item,Hair,Base,Aura,Hat,Experience,Level,Rarity score,Token Id
3974,Japanese Motif - Pink,True,Hoodie - One Shoulder Fire,Sakura Petal,Square Frame,Game Helmet - Shiba Inu,None,Black,Espresso,None,None,None,None,30.622028746335634,3974
3975,Night Sky,False,Shirt 7 - Black,Seven,Minimal Frame,Motorcycle Helmet - White,None,Orange-Red,Espresso,Night,None,0.0,1.0,57.452884214236136,3975
3976,Colorful Clouds,False,Monk,Flame,Square Frame,Petrified Demon Mask,Gold Monkey Staff,Orange-Red,Beige,Night,Hat - 7 Black,None,None,40.01028995562536,3976
3977,Night Sky,False,Sweater - One Shoulder Blue Demon,Emoticon,Minimal Frame,Full Face Mask - ???,None,Black,Golden,None,Beanie - Orange,None,None,24.580267050711292,3977
3978,Pixel - Day on an Island,None,Sweater - Black and Orange,Emoticon,Minimal Frame,Kaiju Mecha Mask - White,No Item,Orange-Red,Porcelain,No Aura,Hat - 7 White,None,None,62.71898438793014,3978
3979,Japanese Motif - Blue,False,Sweater - Kintsugi,None,Minimal Frame,Full Face Mask - X,Dark Katana,White,Espresso,None,Beanie - Gray,None,None,23.874057519557187,3979
3980,Colorful Clouds,False,Shirt - Pixel,None,Minimal Frame,Full Mask,Metal Monkey Staff,Black,Porcelain,Night,Hat - Emoticon White,None,None,24.143411858297572,3980
3981,Japanese Motif - Yellow,False,Shirt 7 - White,None,Square Frame,Motorcycle Helmet - Roughed,None,Yellow,Espresso,Night,None,None,None,1.1029453723537384,3981
3982,Japanese Motif - Pink,False,Shirt - Pixel,None,Square Frame,Hype Black Mask,Banana,Red,Beige,None,Bucket Hat Official,None,None,22.750615260379757,3982
3983,Night Sky,False,Hoodie - One Shoulder Lotus,Seven,Square Frame,Petrified Demon Mask,None,White,Beige,Night,Beanie - Orange,None,None,23.634865724219114,3983
3984,Red,False,Monk,Black Flames,Circle Frame,Mascot - UwU cat,Red Katana,Red,Porcelain,Night,None,0.0,1.0,71.92074159185165,3984
3985,Japanese Motif - Pink,None,Sweater - Cherry Blossoms,No Tattoo,Minimal Frame,Full Mask,No Item,Yellow,Espresso,No Aura,Hat - 7 Wave,None,None,59.92830995026227,3985
3986,Pixel - Piano in a Sea,False,Bomber - Golden,3 Sevens,Minimal Frame,Beak Mask - Gold,Gold Katana,Yellow,Porcelain,Light,Rice Hat - Gold,None,None,47.56727622354925,3986
3987,Red,False,Shirt 7 - White,None,Minimal Frame,Lightning Mask,None,Yellow,Golden,Night,Bucket Hat Official,None,None,8.092248773088595,3987
3988,Shooting Stars,False,Sweater - Space,Constellation,Square Frame,Motorcycle Helmet - Black,Red Katana,Black,Espresso,Night,None,None,None,29.759076162515978,3988
3989,Japanese Motif - Blue,False,Hoodie - Tongue,Star,Circle Frame,Hype Black Mask,None,Orange-Red,Beige,Night,Bucket Hat Yellow,None,None,24.38732172938526,3989
3990,Japanese Motif - Blue,None,Shirt 7 - Black,Flame,Circle Frame,Mascot - Joyful cat,No Item,Yellow,Espresso,Night,No Hat,None,None,49.81636477073771,3990
3991,Painted Brush,False,Shirt 7 - White,Constellation,Square Frame,Lightning Mask,None,Yellow,Espresso,Light,Bucket Hat White,None,None,28.422614350114895,3991
3992,Night Sky,False,Bomber - Black,None,Circle Frame,Red-eyed Owl,Black Scythe,Red,Golden,None,Hat - 7 Wave,None,None,21.596741712010743,3992
3993,Colorful Clouds,False,Hoodie - Painted,None,Circle Frame,Fox Mask - LED Scarred,None,White,Beige,None,Rice Hat - Blue,None,None,11.690554028512123,3993
3994,Japanese Motif - Blue,None,Sweater - Black and Orange,No Tattoo,Minimal Frame,Motorcycle Helmet - Black,No Item,Red,Porcelain,No Aura Plain,No Hat,None,None,55.84261196504019,3994
3995,Pixel - Piano in a Sea,False,Shirt 7 - Black,None,Circle Frame,LED Japanese Mask,Banana,Red,Golden,None,Beanie - White,0.0,1.0,64.74991261131818,3995
3996,Painted Brush,False,Bomber - Black,Emoticon,Minimal Frame,Scarred Skull,Chef Knife,Orange-Red,Porcelain,Night,None,None,None,27.822948739943577,3996
3997,Japanese Motif - Blue,False,Sweater - Space,None,Square Frame,Fox Mask - Emoticon,None,Red,Golden,Light,Beanie - Gray,None,None,16.412656738322035,3997
3998,Japanese Motif - Yellow,True,Shirt - Japanese Black,Seven,Square Frame,Game Helmet - Silhouette,Red Scythe,Yellow,Golden,Night,None,0.0,1.0,84.91407347468703,3998
3999,Red,False,Sweater - Cherry Blossoms,None,Square Frame,Emoticon Owl,Red Monkey Staff,Orange-Red,Porcelain,Light,Bucket Hat White Kumo Motif,0.0,1.0,71.27019507997397,3999
4000,Pixel - Day on an Island,False,Shirt 7 - Black,None,Square Frame,Hype Red Mask,None,Black,Porcelain,None,Bucket Hat Yellow,None,None,8.772761021882012,4000
4001,Shooting Stars,False,Shirt - Sevens Block,Crossed Out,Minimal Frame,Hype Black Mask,Dark Chef Knife,Orange-Red,Espresso,None,Bucket Hat White,None,None,35.009327107766,4001
4002,Pixel - Day on an Island,True,Hoodie - Fire Heart,Seven,Minimal Frame,Akuma Half Mask - Black,Red Scythe,Black,Porcelain,None,Bucket Hat Painted,None,None,51.184398812503886,4002
4003,Red,False,Kimono - Eth Checkered,None,Minimal Frame,Hype Black Mask,Metal Monkey Staff,Yellow,Beige,No Aura Plain,Bucket Hat Akuma,None,None,28.483643169993595,4003
4004,Japanese Motif - Pink,False,Sweater - Cherry Blossoms,Greek Letters,Square Frame,Beak Mask - Darkened,None,Red,Espresso,None,Hat - 7 Wave,0.0,1.0,68.34281718470405,4004
4005,Night Sky,False,Kimono - Blue Green,Seven,Square Frame,Motorcycle Helmet - Black,None,Black,Espresso,Night,None,None,None,15.639678377182694,4005
4006,Pixel - Piano in a Sea,True,Shirt - Japanese Black,None,Minimal Frame,Mascot - UwU cat,Yellow Katana,Yellow,Beige,None,None,None,None,27.704570571277813,4006
4007,Painted Brush,None,Shirt - Japanese Black,Sakura Petal,Circle Frame,Beak Mask - Darkened,Dark Chef Knife,Red,Golden,No Aura,Hat - 7 Black,None,None,61.982858433102685,4007
4008,Painted Brush,True,Shirt - Isekai Postal,Seven,Circle Frame,Hype Red Mask,Chef Knife,Black,Beige,Night,Bucket Hat Black,None,None,48.25189251913805,4008
4009,Japanese Motif - Yellow,False,Sweater - Space,Crossed Out,Circle Frame,Hype Black Mask,None,Yellow,Espresso,Night,Rice Hat - White,0.0,1.0,66.34120330369673,4009
4010,Japanese Motif - Pink,False,Shirt - Japanese Black,Emoticon,Square Frame,Mascot - Joyful cat,None,Red,Beige,None,None,None,None,17.098501527083545,4010
4011,Japanese Motif - Pink,False,Sweater - Cherry Blossoms,None,Minimal Frame,Beak Mask - Metal,None,White,Espresso,Night,Bucket Hat White,0.0,1.0,52.70652303713359,4011
4012,Night Sky,False,Shirt 7 - Black,None,Minimal Frame,Mascot - Shiba Inu,Chef Knife,White,Beige,Night,None,0.0,1.0,56.43651458413517,4012
4013,Colorful Clouds,False,Kimono - Blue Green,None,Circle Frame,Sevens Japanese Mask,Sakura Branch,White,Porcelain,None,Beanie - Black,None,None,22.938575240153856,4013
4014,Light Blue,None,Shirt - Taped Banana,Heart 7,Circle Frame,Motorcycle Helmet - Roughed,No Item,Black,Beige,Night,No Hat,None,None,51.188350030641374,4014
4015,Red,False,Bomber - Golden,Star,Minimal Frame,Mascot - Joyful cat,None,Orange-Red,Espresso,Light,None,0.0,1.0,67.10307591480785,4015
4016,Colorful Clouds,True,Shirt - Taped Banana,None,Minimal Frame,Beak Mask - Metal,Red Katana,Red,Beige,Light,Bucket Hat Red Kumo Motif,None,None,42.423222259228034,4016
4017,Pixel - Day on an Island,False,Kimono - Eth Checkered,Constellation,Square Frame,Kintsugi Skull,None,Orange-Red,Beige,Light,Hat - 7 Wave,None,None,32.50887147683659,4017
4018,Shooting Stars,True,Hoodie - One Shoulder Yin Yang,Emoticon,Minimal Frame,Kintsugi Skull,Gold Chef Knife,Black,Golden,Night,Straw Hat,0.0,1.0,94.6853832171189,4018
4019,Red,True,Bomber - Black,Flame,Circle Frame,Full Mask,Banana,Black,Golden,None,Rice Hat - Shadow,0.0,1.0,91.97188685163363,4019
4020,Light Blue,False,Lab Coat,3 Sevens,Minimal Frame,Game Helmet - Silhouette,Red Space Fork,White,Beige,None,None,None,None,31.27374162216406,4020
4021,Painted Brush,False,Sweater - Black and Orange,Seven,Minimal Frame,LED Japanese Mask,None,White,Espresso,Night,Rice Hat - Gold,0.0,1.0,66.98668249932508,4021
4022,Japanese Motif - Pink,None,Hoodie - Painted,No Tattoo,Circle Frame,Fox Mask - Scarred,No Item,Black,Beige,Night,Beanie - Yellow,None,None,50.5934293397454,4022
4023,Pixel - Piano in a Sea,True,Hoodie - Fire Heart,Flame,Circle Frame,Petrified Demon Mask,None,White,Beige,None,Beanie - Black,0.0,1.0,80.94026645362472,4023
4024,Sakura Tree,True,Shirt 7 - Black,None,Minimal Frame,Painted Owl mask,None,Red,Golden,Night,Hat - Emoticon White,None,None,24.442206162125395,4024
4025,Japanese Motif - Pink,False,Shirt 7 - White,None,Circle Frame,Beak Mask - Darkened,None,Orange-Red,Beige,Light,Bucket Hat Official,None,None,14.354104804692094,4025
4026,Pixel - Day on an Island,False,Kimono - Blue Green,None,Minimal Frame,Fox Mask - Scarred,None,Orange-Red,Espresso,None,Straw Hat,0.0,1.0,54.21511174465966,4026
4027,Light Blue,True,Shirt - Painted Tee,Seven,Square Frame,Painted Black Mask,None,Red,Beige,No Aura Plain,Rice Hat - White,None,None,43.17009302732123,4027
4028,Shooting Stars,False,Bomber - Black,Crossed Out,Circle Frame,Mecha Bird - Red-Eyed Crow,Black Scythe,Black,Beige,Night,None,0.0,1.0,70.97572007676352,4028
4029,Japanese Motif - Blue,None,Hoodie - Painted,No Tattoo,Circle Frame,Motorcycle Helmet - Black,Red Katana,Red,Golden,No Aura,No Hat,None,None,59.56781796817479,4029
4030,Night Sky,False,Bomber - Golden,None,Circle Frame,Red-eyed Owl,None,Black,Beige,Night,Hat - 7 White,None,None,10.389697637537303,4030
4031,Night Sky,True,Shirt - Sevens Block,Sakura Petal,Minimal Frame,Kaiju Mecha Mask - Black,None,Red,Beige,Night,Hat - Emoticon White,0.0,1.0,80.2648003313482,4031
4032,Painted Brush,False,Sweater - Cherry Blossoms,Crossed Out,Circle Frame,Game Helmet - Silhouette,Maple Branch,White,Porcelain,None,None,None,None,28.722305481654104,4032
4033,Japanese Motif - Pink,False,Bomber - White and Blue,None,Minimal Frame,Lightning Mask,None,Orange-Red,Espresso,Night,Rice Hat - Sunflower,0.0,1.0,52.782737364973244,4033
4034,Red,True,Hoodie - Sunflowers,None,Circle Frame,Game Helmet - Silhouette,Black Scythe,Black,Golden,No Aura Plain,None,None,None,34.942119774062455,4034
4035,Bananaz!,None,Sweater - Kintsugi,Attached Diamonds,Circle Frame,Petrified Skull,Black Scythe,Black,Beige,Night,Hat - HERO hat,None,None,53.82689276051549,4035
4036,Colorful Clouds,False,Shirt - Sevens Block,None,Circle Frame,Hype Black Mask,Red Monkey Staff,Red,Porcelain,None,Rice Hat - Sunflower,0.0,1.0,65.65468105411632,4036
4037,Pixel - Piano in a Sea,True,Hoodie - Sunflowers,None,Square Frame,Hype Red Mask,Red Scythe,Black,Beige,Light,Rice Hat - Sunflower,0.0,1.0,84.79216901943653,4037
4038,Red,None,Shirt - Painted Tee,No Tattoo,Minimal Frame,Lion - Fire Mustache,Banana,Yellow,Espresso,Light,Bucket Hat White,None,None,57.398871160837395,4038
4039,Shooting Stars,False,Shirt - Taped Banana,None,Square Frame,Petrified Skull,None,Yellow,Espresso,None,Hat - Emoticon Black,None,None,9.601419768214804,4039
4040,Night Sky,True,Sweater - One Shoulder Blue Demon,None,Circle Frame,Hype Red Mask,Metal Monkey Staff,Black,Porcelain,Night,Rice Hat - Sunflower,None,None,35.14041438872038,4040
4041,Pixel - Piano in a Sea,None,Shirt - Taped Banana,No Tattoo,Circle Frame,Motorcycle Helmet - Roughed,Metal Pipe,White,Beige,No Aura,No Hat,None,None,60.49766122508268,4041
4042,Pixel - Piano in a Sea,None,Sweater - One Shoulder Red Demon,Heart 7,Minimal Frame,Fox Mask - Emoticon,No Item,Black,Golden,Light,Hat - Emoticon Black,None,None,59.27907208025586,4042
4043,Japanese Motif - Pink,False,Sweater - Space,Flame,Circle Frame,Lion - Fire Breath,None,Black,Porcelain,Night,Rice Hat - Package,None,None,25.205672024168607,4043
4044,Shooting Stars,False,Shirt 7 - Black,None,Circle Frame,Demon Fire Mask,None,Red,Espresso,Night,Hat - 7 White,None,None,8.819056173427334,4044
4045,Pixel - Piano in a Sea,True,Hoodie - One Shoulder Fire,Flame,Square Frame,Lion - Fire Breath,Dark Katana,Red,Golden,None,Hat - Painted,None,None,51.88073280923536,4045
4046,Red,False,Shirt 7 - Black,None,Circle Frame,Full Face Mask - Double Line,Red Space Fork,Red,Beige,No Aura Plain,Beanie - Orange,None,None,27.690872415656564,4046
4047,Japanese Motif - Yellow,None,Shirt - Sevens Block,Kanji,Minimal Frame,Kaiju Mecha Mask - White,Chef Knife,White,Golden,Light,Bucket Hat White,None,None,59.264479140830495,4047
4048,Sakura Tree,False,Bomber - Black,None,Minimal Frame,Full Face Mask - Red Stop,Metal Pipe,Red,Beige,None,Beanie - Orange,None,None,24.997159156754854,4048
4049,Light Blue,False,Shirt 7 - Black,Seven,Square Frame,Akuma Half Mask - White,None,Black,Golden,Night,Rice Hat - Shadow,0.0,1.0,64.46093781125413,4049
4050,Japanese Motif - Blue,None,Shirt - Japanese Black,No Tattoo,Minimal Frame,Scarred Skull,Yellow Katana,Red,Espresso,No Aura Plain,Bucket Hat Red Kumo Motif,None,None,56.30629010965082,4050
4051,Pixel - Piano in a Sea,None,Lab Coat,Black Flames,Square Frame,Fox Mask - LED Scarred,No Item,Black,Beige,Light,Beanie - Orange,None,None,58.39494504843303,4051
4052,Colorful Clouds,True,Sweater - Space,None,Minimal Frame,Sevens Japanese Mask,None,Orange-Red,Porcelain,Night,Hat - 7 Wave,None,None,23.649195719481387,4052
4053,Colorful Clouds,None,Shirt 7 - White,No Tattoo,Square Frame,Motorcycle Helmet - Black,Metal Pipe,Red,Beige,No Aura,No Hat,None,None,59.26295115190675,4053
4054,Bananaz!,False,Hoodie - Painted,Black Flames,Circle Frame,Hype Red Mask,Red Katana,Orange-Red,Espresso,No Aura Plain,Bucket Hat Black,None,None,42.73418174504901,4054
4055,Pixel - Piano in a Sea,False,Shirt - Japanese Black,None,Square Frame,Mascot - Shiba Inu,Dark Chef Knife,White,Golden,Light,None,None,None,21.708520786007362,4055
4056,Night Sky,False,Hoodie - Tongue,None,Circle Frame,Painted Black Mask,Chef Knife,Red,Porcelain,Night,Bucket Hat Black,None,None,22.262799185123498,4056
4057,Shooting Stars,True,Kimono - Blue Green,None,Square Frame,Emoticon Owl,None,Yellow,Porcelain,Night,Beanie - Yellow,None,None,23.39519682723582,4057
4058,Japanese Motif - Blue,False,Lab Coat,Attached Diamonds,Circle Frame,Petrified Skull,Chef Knife,White,Porcelain,None,Bucket Hat Red Kumo Motif,0.0,1.0,80.19326710577995,4058
4059,Red,True,Shirt 7 - Black,Kanji,Square Frame,Red-eyed Owl,None,Black,Espresso,Night,Bucket Hat Akuma,None,None,36.06536091727228,4059
4060,Shooting Stars,False,Shirt - Japanese Black,None,Circle Frame,Sevens Japanese Mask,Metal Monkey Staff,White,Espresso,None,Beanie - Aqua,0.0,1.0,63.637144003290366,4060
4061,Red,False,Bomber - White and Blue,None,Square Frame,Sevens Japanese Mask,Metal Pipe,Yellow,Golden,No Aura Plain,None,0.0,1.0,63.37782133311891,4061
4062,Bananaz!,None,Shirt - Japanese Black,No Tattoo,Square Frame,Game Helmet - Shiba Inu,Chef Knife,Orange-Red,Golden,Light,No Hat,None,None,55.93493271901481,4062
4063,Light Blue,True,Shirt - Sevens Block,None,Square Frame,Painted Black Mask,Red Scythe,Yellow,Golden,Night,None,None,None,28.330181123211528,4063
4064,Bananaz!,False,Kimono - Eth Checkered,None,Circle Frame,Petrified Skull,Chef Knife,White,Golden,No Aura Plain,Rice Hat - Sunflower,0.0,1.0,71.70715269732142,4064
4065,Light Blue,None,Shirt 7 - White,3 Sevens,Circle Frame,Game Helmet - Silhouette,No Item,Black,Espresso,Light,No Hat,None,None,55.84860173173083,4065
4066,Shooting Stars,None,Shirt 7 - White,No Tattoo,Circle Frame,Petrified Skull,Sakura Branch,Orange-Red,Golden,No Aura,Hat - HERO hat,None,None,59.24302146460867,4066
4067,Japanese Motif - Blue,False,Hoodie - Painted,None,Circle Frame,Motorcycle Helmet - Black,None,Yellow,Espresso,No Aura Plain,None,None,None,8.884818261469807,4067
4068,Japanese Motif - Yellow,None,Shirt - Japanese Black,No Tattoo,Minimal Frame,Scarred Skull,Maple Branch,Black,Beige,Night,Bucket Hat Painted,None,None,50.91432776493979,4068
4069,Night Sky,False,Hoodie - Fire Heart,Attached Diamonds,Circle Frame,Motorcycle Helmet - Roughed,None,Orange-Red,Porcelain,Night,None,0.0,1.0,60.09548346403734,4069
4070,Japanese Motif - Yellow,False,Bomber - Black,Emoticon,Minimal Frame,Emoticon Owl,None,White,Beige,No Aura Plain,Beanie - Black,None,None,29.749083709456258,4070
4071,Sakura Tree,True,Kimono - Eth Checkered,None,Minimal Frame,Sevens Japanese Mask,Red Scythe,Orange-Red,Golden,Night,Hat - 7 White,None,None,38.39305073585958,4071
4072,Japanese Motif - Yellow,False,Hoodie - Kintsugi 7,Black Flames,Square Frame,Red-eyed Owl,None,Red,Golden,None,Beanie - Gray,0.0,1.0,67.48407434251146,4072
4073,Japanese Motif - Yellow,None,Bomber - White and Blue,No Tattoo,Circle Frame,LED Japanese Mask,Red Scythe,Red,Beige,No Aura Plain,Beanie - Gray,None,None,58.343992174044125,4073
4074,Red,True,Sweater - Kintsugi,Emoticon,Square Frame,Motorcycle Helmet - White,None,White,Beige,None,None,None,None,30.256137439509928,4074
4075,Colorful Clouds,False,Shirt - Japanese Black,Crossed Out,Circle Frame,Painted Lion Mask,Banana,Yellow,Golden,None,Hat - 7 White,None,None,37.04221811183632,4075
4076,Japanese Motif - Pink,None,Shirt - Isekai Postal,No Tattoo,Minimal Frame,Mecha Bird - Seagull,No Item,White,Espresso,No Aura Plain,No Hat,None,None,56.16795824905032,4076
4077,Japanese Motif - Yellow,False,Shirt 7 - Black,None,Minimal Frame,Elder Skull,Red Monkey Staff,Yellow,Beige,Night,Bucket Hat White Kumo Motif,0.0,1.0,64.31876806315204,4077
4078,Light Blue,False,Kimono - Sunflower,None,Square Frame,Fox Mask - LED Scarred,Banana,Yellow,Golden,No Aura Plain,Beanie - Gray,0.0,1.0,71.7476984735045,4078
4079,Pixel - Day on an Island,False,Hoodie - Sunflowers,Crossed Out,Circle Frame,Hype Black Mask,None,Red,Golden,None,Rice Hat - Sunflower,None,None,23.497638507747837,4079
4080,Night Sky,True,Sweater - Black and Orange,None,Square Frame,Sevens Japanese Mask,None,White,Beige,None,Beanie - Yellow,None,None,22.251277235410235,4080
4081,Pixel - Piano in a Sea,False,Hoodie - One Shoulder Lotus,None,Minimal Frame,Elder Skull,None,Orange-Red,Espresso,None,Bucket Hat Akuma,None,None,10.958673407837233,4081
4082,Night Sky,False,Shirt - Japanese Black,Crossed Out,Square Frame,Petrified Skull,Gold Chef Knife,Orange-Red,Golden,None,Hat - Painted,None,None,35.84776980402232,4082
4083,Bananaz!,False,Shirt 7 - Black,Sakura Petal,Square Frame,Game Helmet - Silhouette,None,Red,Espresso,None,None,None,None,15.482120575676978,4083
4084,Night Sky,True,Shirt - Sevens Block,None,Minimal Frame,Petrified Skull,None,Orange-Red,Beige,None,None,0.0,1.0,57.8843417292399,4084
4085,Japanese Motif - Blue,False,Shirt - Painted Tee,None,Square Frame,Game Helmet - Shiba Inu,None,Black,Espresso,None,None,0.0,1.0,45.900304287333846,4085
4086,Shooting Stars,None,Shirt - Painted Tee,Sakura Petal,Circle Frame,Mecha Bird - Red-Eyed Crow,No Item,Orange-Red,Beige,Night,No Hat,None,None,51.427092244409636,4086
4087,Japanese Motif - Pink,None,Hoodie - Kintsugi 7,No Tattoo,Minimal Frame,Fox Mask - Emoticon,No Item,Black,Porcelain,No Aura,Beanie - Painted,None,None,60.334847961748984,4087
4088,Red,None,Hoodie - Fire Heart,Heart 7,Square Frame,Scarred Skull,No Item,Black,Espresso,No Aura,Straw Hat,None,None,60.940498928493,4088
4089,Japanese Motif - Yellow,None,Kimono - Sunflower,Star,Minimal Frame,Motorcycle Helmet - Roughed,No Item,Orange-Red,Porcelain,Light,No Hat,None,None,56.97661463674696,4089
4090,Pixel - Day on an Island,False,Hoodie - Fire Heart,None,Circle Frame,LED Japanese Mask,None,Black,Espresso,None,Hat - Emoticon White,None,None,11.43142454339092,4090
4091,Pixel - Day on an Island,None,Hoodie - Tongue,Black Flames,Minimal Frame,Hype Red Mask,No Item,Orange-Red,Porcelain,Light,Rice Hat - Blue,None,None,58.62852767003701,4091
4092,Night Sky,True,Lab Coat,Emoticon,Square Frame,Fox Mask - Scarred,Banana,Black,Golden,None,None,None,None,43.31236655163267,4092
4093,Japanese Motif - Pink,False,Hoodie - One Shoulder Yin Yang,None,Minimal Frame,Mascot - Shiba Inu,None,Yellow,Porcelain,None,None,0.0,1.0,45.992014175315155,4093
4094,Japanese Motif - Pink,False,Shirt - Isekai Postal,Greek Letters,Circle Frame,Akuma Half Mask - Black,None,Orange-Red,Porcelain,Night,Rice Hat - White,None,None,25.886716709539602,4094
4095,Japanese Motif - Pink,None,Lab Coat,Crossed Out,Minimal Frame,Motorcycle Helmet - White,Red Scythe,Red,Espresso,No Aura Plain,No Hat,None,None,58.26818666120782,4095
4096,Japanese Motif - Blue,False,Shirt 7 - Black,Sakura Petal,Square Frame,Full Mask,None,Red,Porcelain,None,Hat - HERO hat,0.0,1.0,65.92900982395373,4096
4097,Bananaz!,None,Shirt - Sevens Block,Attached Diamonds,Minimal Frame,Kintsugi Skull,No Item,Yellow,Porcelain,No Aura,Bucket Hat Red SH777SH,None,None,61.95163485655316,4097
4098,Light Blue,False,Shirt - Japanese Black,Emoticon,Square Frame,Scarred Skull,None,White,Beige,None,Rice Hat - Sunflower,None,None,22.384527124464245,4098
4099,Pixel - Piano in a Sea,None,Hoodie - Painted,No Tattoo,Circle Frame,Mascot - UwU cat,Dark Chef Knife,Red,Espresso,No Aura,No Hat,None,None,60.203057752428876,4099
4100,Japanese Motif - Yellow,True,Shirt 7 - White,None,Circle Frame,Akuma Half Mask - Black,None,Black,Golden,Night,Bucket Hat Red Kumo Motif,None,None,22.05339958712363,4100
4101,Light Blue,False,Shirt 7 - White,Sakura Petal,Square Frame,Painted Lion Mask,None,White,Espresso,No Aura Plain,Beanie - Black,None,None,28.829128347901552,4101
4102,Shooting Stars,False,Sweater - Black and Orange,None,Square Frame,Hype Black Mask,None,White,Espresso,None,Bucket Hat White Kumo Motif,None,None,9.550580907698475,4102
4103,Pixel - Piano in a Sea,None,Shirt - Sevens Block,No Tattoo,Circle Frame,Emoticon Owl,Black Scythe,Black,Golden,No Aura,No Hat,None,None,60.507965996283694,4103
4104,Japanese Motif - Pink,False,Sweater - One Shoulder Blue Demon,None,Minimal Frame,Full Face Mask - Red Stop,None,Yellow,Beige,None,Beanie - White,0.0,1.0,53.39713471977123,4104
4105,Pixel - Day on an Island,True,Monk,Kanji,Square Frame,Hype Red Mask,None,Orange-Red,Beige,None,Bucket Hat Black SH777SH,0.0,1.0,82.62219753694787,4105
4106,Red,False,Kimono - Blue Green,None,Circle Frame,Fox Mask - Sealed,Red Katana,Black,Porcelain,Night,Rice Hat - Kintsugi,0.0,1.0,66.02119531176378,4106
4107,Japanese Motif - Yellow,False,Shirt - Pixel,None,Circle Frame,Petrified Skull,Metal Pipe,Black,Espresso,No Aura Plain,Hat - Painted,0.0,1.0,72.03238209065836,4107
4108,Pixel - Day on an Island,True,Shirt - Pixel,None,Minimal Frame,Motorcycle Helmet - Black,Metal Pipe,Orange-Red,Porcelain,None,None,None,None,29.82406348109528,4108
4109,Japanese Motif - Pink,False,Shirt 7 - Black,Seven,Square Frame,Hype Red Mask,None,Orange-Red,Golden,No Aura Plain,Bucket Hat Red SH777SH,0.0,1.0,70.74670243609677,4109
4110,Red,False,Bomber - Black,Heart 7,Circle Frame,Full Face Mask - Double Line,None,Yellow,Golden,No Aura Plain,Rice Hat - Sunflower,None,None,29.850912487362596,4110
4111,Japanese Motif - Blue,False,Shirt - Sevens Block,Flame,Minimal Frame,Hype Black Mask,Chef Knife,Red,Espresso,None,Bucket Hat Red Kumo Motif,None,None,35.975082261553624,4111
4112,Light Blue,False,Shirt 7 - White,None,Minimal Frame,Kintsugi Skull,None,White,Golden,Night,Straw Hat,0.0,1.0,51.44123060634209,4112
4113,Night Sky,None,Hoodie - Fire Heart,No Tattoo,Square Frame,Petrified Skull,No Item,Orange-Red,Espresso,Night,Bucket Hat Black,None,None,49.53136594443892,4113
4114,Bananaz!,False,Hoodie - Fire Heart,Seven,Minimal Frame,Sevens Japanese Mask,Metal Pipe,Orange-Red,Golden,None,Beanie - Orange,0.0,1.0,78.32846373367688,4114
4115,Pixel - Day on an Island,None,Kimono - Sunflower,No Tattoo,Square Frame,Lightning Mask,No Item,Orange-Red,Espresso,No Aura,Bucket Hat Black,None,None,60.136797380358956,4115
4116,Shooting Stars,True,Hoodie - Painted,Emoticon,Circle Frame,Painted Lion Mask,None,White,Beige,Night,Rice Hat - Gold,None,None,38.209949710676085,4116
4117,Painted Brush,None,Hoodie - Painted,Sakura Petal,Circle Frame,Game Helmet - Shiba Inu,Yellow Katana,Orange-Red,Porcelain,Light,No Hat,None,None,57.297444734016814,4117
4118,Japanese Motif - Yellow,False,Hoodie - Tongue,None,Minimal Frame,Sevens Japanese Mask,Red Katana,Red,Porcelain,None,Beanie - Gray,0.0,1.0,64.38942856269023,4118
4119,Pixel - Day on an Island,False,Bomber - White and Blue,Emoticon,Minimal Frame,Red-eyed Owl,Black Scythe,White,Porcelain,None,Hat - Emoticon White,0.0,1.0,80.85890771636363,4119
4120,Shooting Stars,True,Hoodie - One Shoulder Lotus,None,Circle Frame,Akuma Half Mask - White,None,Yellow,Espresso,None,Rice Hat - Sunflower,0.0,1.0,66.09185726691722,4120
4121,Pixel - Day on an Island,False,Hoodie - Sunflowers,None,Circle Frame,Demon Fire Mask,Black Scythe,Black,Golden,Light,Beanie - Black,None,None,30.206635578310014,4121
4122,Japanese Motif - Blue,None,Shirt - Japanese Black,Emoticon,Square Frame,Motorcycle Helmet - Roughed,Chef Knife,Black,Beige,No Aura Plain,No Hat,None,None,57.6684644228564,4122
4123,Light Blue,False,Shirt - Sevens Block,Black Flames,Square Frame,Sevens Japanese Mask,None,Red,Espresso,None,Hat - Emoticon Black,None,None,22.48625931360346,4123
4124,Japanese Motif - Pink,False,Shirt 7 - White,None,Circle Frame,Mecha Bird - Seagull,None,Orange-Red,Beige,No Aura Plain,None,None,None,8.102089354950225,4124
4125,Light Blue,False,Bomber - White and Blue,None,Circle Frame,Scarred Skull,None,Yellow,Porcelain,Light,Hat - 7 White,None,None,14.95909421909527,4125
4126,Light Blue,True,Bomber - Black,Sakura Petal,Square Frame,Petrified Skull,None,Yellow,Espresso,Night,Bucket Hat Black SH777SH,None,None,36.14680679625313,4126
4127,Painted Brush,False,Hoodie - Painted,None,Minimal Frame,Full Face Mask - X,None,White,Beige,None,Beanie - Painted,0.0,1.0,52.91438673441393,4127
4128,Painted Brush,False,Shirt - Sevens Block,None,Circle Frame,Petrified Skull,Gold Chef Knife,Black,Golden,None,Rice Hat - Gold,0.0,1.0,66.18325638273014,4128
