,Hat Color,Glasses Frame Color,Overall Color,Shirt Color,Boot Color,Pupil Color,Hair Color,Hat,Facial Hair,Glasses,Held Item,Hair Style,Outfit,Gender,Class,Zipper Color,Helmet Glass Color,Glove Color,Suit Color,Pant Color,Shoe Color,Belt Buckle Color,Bandana Color,Belt Color,Tie Color,Life Buoy Color,Robe Color,Lifejacket Color,Miscellaneous,Jumpsuit Color,Foot Color,Vest Color,Apron Color,Special,Shirt Collar Color,Undershirt Color,String Color,Jacket Color,Spatula Color,Dress Color,Frame Color,Pants Color,Lab Coat Color,Fuel Rod Color,Gloves and Boots Color,Fish 1 Color,Skirt Color,Gloves and Foot Color,Horn Color,Hoof Color,Coat Color,Breed,Overalls Color,Shirt Accent Color,Badge Accent 1 Color,Suspender Color,Wool Color,Eye Patch Color,Feather Color,Comb and Wattle Color,Water Tank Color,Track Color,Body Color,Shirt and Pant Color,Sleeve Color,Wheel Color,Skin Color,Rarity score,Token Id
3978,None,Scarlet,None,Terracotta,None,Millbrook,Black,None,Long Stache and Beard,Luxury,Steel,Afro,Worker Uniform,Male,Factory Worker,None,None,None,None,Black,White,None,None,Black,None,None,None,None,Face Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.57304812334106,3978
3979,Yellow,Screamin' Green,None,Portage,None,Millbrook,Millbrook,Flat Cap,Bush Beard,90s,Hatchet,Ponytail,Open Checkered Shirt and Utility Belt,Male,Builder,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.02172041914446,3979
3980,Orient,Electric Violet,None,None,None,Cement,Cod Gray,Ivy Cap,None,Oval Frame,Fork,Bangs,Checkered Lumberjack Dress,Female,Lumberjack,None,None,None,None,None,Dark Gray,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,Twine,None,None,None,Torea Bay,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,69.93794800856787,3980
3981,White,Screamin' Green,None,Dull Lavender,Medium Gray,Blue,Westar,Flat Cap,Horseshoe Mustache,Future,Flask,Ponytail,Life Buoy,Male,Boat Captain,None,None,None,None,Merlin,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,64.17613503130241,3981
3982,Pelorous,None,None,Dull Lavender,Black,Deep Sea Green,Millbrook,Reverse Cap,Brush Mustache,None,None,Side-Swept,Life Jacket Whistle,Male,Boat Captain,None,None,None,None,Indian Khaki,None,None,None,None,None,None,None,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34.958243926320144,3982
3983,None,None,Japanese Laurel,Gossip,None,Cement,White,None,Horseshoe Mustache,None,Chainsaw,Mullet,Farmer Dungarees,Male,Farmer,None,None,None,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.47316977371878,3983
3984,None,None,None,None,None,Millbrook,None,None,None,None,None,None,None,None,Cow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Black,Light Brown,Black/White,Friesian,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,60.65859282534376,3984
3985,None,None,None,Gimblet,None,Black,Tacha,None,Comb Mustache,None,None,Side-Swept,Bragard Jacket,Male,Baker,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,18.84695403946084,3985
3986,Orient,None,None,Torea Bay,None,Deep Sea Green,Black,Hard Hat,Goatee Beard,None,None,Long Fringe,Tank Top Belly,Male,Trucker,None,None,None,None,Japanese Laurel,Dark Gray,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.554391122990264,3986
3987,None,None,None,None,None,Millbrook,None,None,None,None,None,None,None,None,Cow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dark Gray,Medium Gray,White/Gray,British Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,60.63793834587094,3987
3988,None,None,None,Gimblet,None,Cement,Nomad,None,None,None,None,Curly,Miller Dress,Female,Miller,None,None,None,None,None,Light Gray,None,None,Black,None,None,None,None,Face Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Shadow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.38113029801639,3988
3989,Pelorous,None,None,None,Medium Gray,Blue,Mine Shaft,Stetson,None,None,Hammer,Mullet,Rain Jacket ,Female,Boat Captain,None,None,None,None,Butterfly Bush,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Electric Green,Terracotta,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,56.240447683303074,3989
3990,None,None,None,Gimblet,None,White,Cumin,None,Bush Beard,None,Hammer,Bob,Checkered Shirt,Male,Factory Worker,None,None,None,None,Gray Olive,Dark Brown,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20.0938966014387,3990
3991,Yellow,None,None,Bandicoot,None,Millbrook,Nomad,Ivy Cap,None,None,Flask,Bangs,HiVis Jacket,Female,Mechanical Engineer,None,None,None,None,Merlin,Light Gray,None,None,None,None,None,None,None,None,None,None,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34.89174353558898,3991
3992,Pelorous,Heliotrope,None,Black,Light Gray,Millbrook,Millbrook,Ball Cap,English Mustache,90s,Drill,Crew Cut,None,None,Boat Captain,None,None,None,None,Cocoa Brown,None,None,None,None,None,None,None,Orange,None,None,None,None,None,Zombie,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,84.90526076635938,3992
3993,Armadillo,None,None,Portage,Light Gray,Blue,Tango,Ball Cap,Brush Mustache,None,None,Mop Top,Life Jacket,Male,Boat Captain,None,None,None,None,White,None,None,None,None,None,None,None,Electric Violet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.92336646010297,3993
3994,Armadillo,None,None,Sail,Light Brown,Cement,Westar,Ivy Cap,Brush Mustache,None,Drill,Dreds,Life Jacket Whistle,Male,Boat Captain,None,None,None,None,Twine,None,None,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,39.50852626487326,3994
3995,None,None,None,None,None,Millbrook,Mine Shaft,None,None,None,None,Payot,Robe,Male,Miller,None,None,None,None,Shadow,Black,None,None,Medium Gray,None,None,Mandy's Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.494727718168294,3995
3996,Electric Violet,None,None,Dull Lavender,None,Millbrook,Cumin,Flat Cap,Pencil Mustache,Eye Patch,None,Curly,Overalls and Utility Belt,Male,Builder,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yellow,None,None,None,None,Pelorous,None,None,None,None,None,None,None,None,None,46.852035931061955,3996
3997,None,None,None,None,None,None,None,None,None,None,Spyglass,None,Radiation Suit,None,Nuclear Engineer,Scarlet,Black,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,73.08864510573594,3997
3998,Black,None,None,Gimblet,None,Blue,Nomad,Straw Hat,Comb Mustache,None,None,80s,Overalls and Utility Belt,Male,Builder,None,None,None,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.041613056815105,3998
3999,Armadillo,Orient,None,None,None,Blue,Black,Fedora,Pencil Mustache,90s,None,Dreds,Royal Chef Jacket,Male,Chef,None,None,None,None,Japanese Laurel,Black,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.257044662176675,3999
4000,Orange,Electric Violet,Medium Brown,Torea Bay,None,Millbrook,Tacha,Flat Cap,None,Luxury,Flask,Mohawk,Metal Worker,Female,Factory Worker,None,None,None,None,Japanese Laurel,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.9458946712287,4000
4001,Screamin' Green,None,None,Lemon Ginger,Medium Gray,Cement,Chicago,Ivy Cap,Handlebar Mustache,None,Drill,80s,Life Jacket Whistle,Male,Boat Captain,None,None,None,None,Blue,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.44200935560815,4001
4002,None,Screamin' Green,Gray Olive,Mandy's Pink,None,Millbrook,Chicago,None,None,90s,Flask,Bob,Muddy Dungarees,Female,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.24821630233032,4002
4003,Yellow,Pelorous,None,Black,None,Cement,Millbrook,Ivy Cap,Hungarian Mustache,Oval Frame,Pickaxe,Pageboy,Worker Uniform,Male,Factory Worker,None,None,None,None,Indian Khaki,Dark Gray,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.93712535319755,4003
4004,Screamin' Green,None,Black,Armadillo,Black,Cement,Mine Shaft,Hard Hat,Bush Beard,None,Hatchet,Bob,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30.536523669723902,4004
4005,Screamin' Green,None,None,Lemon Ginger,Dark Gray,Millbrook,White,Ball Cap,Pencil Mustache,None,None,Quiff,Life Jacket,Male,Boat Captain,None,None,None,None,Black,None,None,None,None,None,None,None,Electric Violet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.354995425685004,4005
4006,Yellow,Orient,None,Mandy's Pink,None,Cement,White,Flat Cap,Long Stache and Beard,Oval Frame,None,Afro,Miner Worker,Male,Miner,None,None,None,None,Regent Gray,Dark Gray,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41.32755817391389,4006
4007,Screamin' Green,None,Blue,Black,Dark Brown,Cement,Black,Flat Cap,Chevron Mustache,VR,Hammer,Long Fringe,Rancher Checkered Dungarees,Male,Rancher,None,None,None,None,None,None,Dark Brown,Screamin' Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Orient,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85.191313375919,4007
4008,None,None,None,Cream Can,None,Millbrook,Nomad,None,Hungarian Mustache,None,None,Cornrows,Bragard Jacket,Male,Baker,None,None,None,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,15.055914670537296,4008
4009,Pelorous,Pelorous,None,Tussock,Black,Cement,Cod Gray,Ball Cap,None,Luxury,Computer,Afro,Life Jacket Whistle,Female,Boat Captain,None,None,None,None,Shadow,None,None,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.655073860678606,4009
4010,Scarlet,Scarlet,Butterfly Bush,Pastel Green,None,Millbrook,Millbrook,Ball Cap,None,Luxury,Hammer,Mop Top,Muddy Dungarees,Female,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.18937658710488,4010
4011,Pelorous,None,None,Saratoga,Black,Millbrook,Westar,Ball Cap,None,None,Lasso,80s,Casual Rancher Outfit,Male,Rancher,None,None,None,None,Blue,None,None,Scarlet,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.946595234538314,4011
4012,Yellow,None,None,Saratoga,None,Millbrook,Westar,Hard Hat,Brush Mustache,None,Flask,Mohawk,Checkered Shirt,Male,Factory Worker,None,None,None,None,Regent Gray,Dark Gray,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.71153064731012,4012
4013,Yellow,None,None,Tussock,None,Cement,Nomad,Hard Hat,Brush Mustache,None,None,Bob,Overalls and Utility Belt,Male,Builder,None,None,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21.502562251269953,4013
4014,None,None,None,None,None,Cement,None,None,None,None,None,None,None,None,Chicken,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Golden Comet,None,None,None,None,None,None,Brown,Pelorous,None,None,None,None,None,None,None,60.91499846406124,4014
4015,Orient,None,None,None,None,Cement,Cod Gray,Fedora,Chevron Mustache,None,None,Bangs,Single-breasted Chef Jacket,Male,Chef,None,None,None,None,Twine,Black,None,None,None,None,None,None,None,None,None,None,None,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23.505253675587472,4015
4016,Electric Violet,Scarlet,None,Gossip,None,Deep Sea Green,Westar,Ball Cap,None,Future,Drill,80s,Tank Top,Male,Trucker,None,None,None,None,Emperor,Dark Gray,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.3061220483928,4016
4017,Pelorous,Pelorous,None,Amethyst Smoke,None,Deep Sea Green,Westar,Ball Cap,Long Stache and Beard,Heart,Drill,Pageboy,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Black,Medium Brown,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,49.82929734003558,4017
4018,Pelorous,None,None,Armadillo,Dark Brown,Millbrook,Nomad,Straw Hat,Brush Mustache,None,Computer,Quiff,Ranch Boss,Male,Rancher,None,None,None,None,Blue,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,Electric Violet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.28201556357661,4018
4019,Screamin' Green,Pelorous,None,Mandy's Pink,None,Cement,Black,Ball Cap,Comb Mustache,Open Frame,None,Cornrows,Tank Top,Male,Trucker,None,None,None,None,Twine,Dark Gray,None,None,Medium Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36.876712937880114,4019
4020,None,None,Japanese Laurel,Black,None,Blue,Black,None,Horseshoe Mustache,None,None,Quiff,Muddy Dungarees,Male,Farmer,None,None,None,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.96074464722593,4020
4021,Heliotrope,Armadillo,None,Terracotta,Dark Gray,Cement,Chicago,Fedora,Hungarian Mustache,Luxury,Drill,Bob,Ranch Boss,Male,Rancher,None,None,None,None,Black,None,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,Armadillo,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,68.7149205676191,4021
4022,Electric Violet,Scarlet,None,None,None,Cement,Tacha,Party Hat,None,90s,None,80s,Executive Chef Jacket ,Female,Chef,None,None,None,None,Gray Olive,Black,None,None,None,None,None,None,None,None,None,None,None,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47.37590473068112,4022
4023,Scarlet,None,None,None,None,Millbrook,Tacha,Straw Hat,None,None,None,Bangs,Royal Chef Jacket,Female,Chef,None,None,None,None,Elm,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.121037325460705,4023
4024,Scarlet,None,None,Pastel Green,Medium Gray,Millbrook,Millbrook,Straw Hat,Chevron Mustache,None,Lasso,Curly,Casual Rancher Outfit,Male,Rancher,None,None,None,None,Blue Vogue,None,None,Screamin' Green,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.29216110197672,4024
4025,Armadillo,None,Cocoa Brown,Amethyst Smoke,None,Cement,Westar,Ball Cap,None,None,Shovel,Bangs,Dairy Farmer,Female,Farmer,None,None,None,None,None,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.151518878526737,4025
4026,Scarlet,None,None,Pastel Green,None,Millbrook,Mine Shaft,Straw Hat,Bush Beard,None,Pickaxe,80s,Checkered Lumberjack Shirt,Male,Lumberjack,None,None,None,None,Shadow,Medium Gray,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24.058920690951872,4026
4027,Yellow,None,None,Hawaiian Tan,None,Cement,Chicago,Hard Hat,Brush Mustache,None,Computer,Pageboy,Overalls and Utility Belt,Male,Builder,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.641163776520848,4027
4028,Electric Violet,Screamin' Green,Yellow,Sail,Black,Millbrook,Black,Ivy Cap,Bush Beard,Oval Frame,Computer,Ponytail,Overalls and Backpack,Male,Builder,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.89817640465565,4028
4029,Electric Green,None,None,Torea Bay,None,Cement,Millbrook,Hard Hat,Long Stache and Beard,None,Steel,Mullet,Miner Worker,Male,Miner,None,None,None,None,Indian Khaki,Black,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.154771955562104,4029
4030,None,Screamin' Green,None,Armadillo,None,Millbrook,White,None,None,90s,None,Side-Swept,Miller Outfit,Male,Miller,None,None,None,None,Elm,Medium Brown,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.515553078546453,4030
4031,Yellow,None,None,Tussock,None,Black,Nomad,Hard Hat,Hungarian Mustache,None,None,Side-Swept,Open Checkered Shirt and Utility Belt,Male,Builder,None,None,None,None,None,Light Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.114246262163487,4031
4032,Orient,Scarlet,None,Pastel Green,Black,Cement,Black,Ivy Cap,Long Stache and Beard,Oval Frame,Hoe,Side-Swept,Lumberjack Shirt and Braces,Male,Lumberjack,None,None,None,None,Butterfly Bush,None,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,49.91512743689067,4032
4033,None,None,None,Amethyst Smoke,None,Blue,Black,None,None,None,None,Hightop,Miller Dress,Female,Miller,None,None,None,None,None,Dark Gray,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Merlin,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22.960008595408283,4033
4034,None,Screamin' Green,None,None,None,Cement,Cumin,None,None,Luxury,None,Bangs,Miller Bartender,Female,Miller,None,None,None,None,Mirage,Medium Gray,None,None,Black,None,None,None,None,None,None,None,Mandy's Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42.82842602817999,4034
4035,Scarlet,None,None,Amethyst Smoke,Medium Brown,Millbrook,Black,Fedora,None,None,None,Curly,Life Jacket,Female,Boat Captain,None,None,None,None,Black,None,None,None,None,None,None,None,Electric Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32.28688386700527,4035
4036,Screamin' Green,None,None,Hawaiian Tan,None,Cement,Millbrook,Ball Cap,Long Stache and Beard,None,Hammer,Bob,Tank Top,Male,Trucker,None,None,None,None,Elm,Black,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20.88835710820885,4036
4037,None,None,Regent Gray,Lemon Ginger,None,Millbrook,Westar,None,Bush Beard,None,Fork,Bald,Muddy Dungarees,Male,Farmer,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.70977567555966,4037
4038,None,Electric Violet,None,None,None,Blue,Nomad,None,Brush Mustache,90s,None,Cornrows,Weaver Outfit Formal,Male,Weaver,None,None,None,None,Japanese Laurel,Medium Brown,None,None,None,None,None,None,None,None,None,None,Hawaiian Tan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41.013557402952344,4038
4039,Screamin' Green,None,None,Portage,None,Blue,Westar,Ball Cap,None,Eye Patch,Hoe,Side-Swept,Gingham Lumberjack Dress,Female,Lumberjack,None,None,None,None,None,Light Brown,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,Gray Olive,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Armadillo,None,None,None,None,None,None,None,None,None,64.27511860810287,4039
4040,None,None,None,None,None,Millbrook,Cod Gray,None,None,None,None,Bob,Miller Bartender,Male,Miller,None,None,None,None,Black,Black,None,None,Medium Gray,None,None,None,None,Bent Pipe,None,None,Bandicoot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.918059162577986,4040
4041,Pelorous,Pelorous,None,None,None,Cement,Millbrook,Stetson,Chevron Mustache,Future,None,80s,Single-breasted Chef Jacket,Male,Chef,None,None,None,None,White,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.859811011083444,4041
4042,Heliotrope,None,None,White,None,Cement,White,Hard Hat,Horseshoe Mustache,None,None,Mohawk,Tank Top,Male,Trucker,None,None,None,None,Elm,Light Brown,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20.070440075643496,4042
4043,None,Scarlet,None,White,None,Blue,Tacha,None,Chevron Mustache,90s,None,Payot,Checkered Shirt,Male,Factory Worker,None,None,None,None,Elm,Dark Gray,None,None,Dark Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33.01651336132406,4043
4044,Scarlet,Electric Violet,None,None,None,Millbrook,Black,Stetson,None,Oval Frame,None,Lob,Single-breasted Chef Jacket,Female,Chef,None,None,None,None,Paradiso,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.179081265775,4044
4045,Electric Violet,Orient,Blue Vogue,Armadillo,Dark Gray,Cement,Mine Shaft,Stetson,Long Stache and Beard,Open Frame,Hammer,Lob,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.758470323592014,4045
